date,par
2014-12-10T00:36:04+0000,1869.16
2014-12-10T00:39:04+0000,1873.74
2014-12-10T00:42:04+0000,1849.8
2014-12-10T00:45:05+0000,1851.84
2014-12-10T00:48:05+0000,1858.98
2014-12-10T00:51:05+0000,1857.44
2014-12-10T00:54:05+0000,1839.37
2014-12-10T00:57:05+0000,1825.36
2014-12-10T01:00:06+0000,1828.16
2014-12-10T01:03:06+0000,1816.97
2014-12-10T01:06:06+0000,1781.82
2014-12-10T01:09:06+0000,1783.09
2014-12-10T01:12:06+0000,1766.8
2014-12-10T01:15:07+0000,1776.99
2014-12-10T01:18:07+0000,1741.59
2014-12-10T01:21:07+0000,1733.7
2014-12-10T01:24:07+0000,1758.4
2014-12-10T01:27:07+0000,1739.56
2014-12-10T01:30:08+0000,1712.55
2014-12-10T01:33:08+0000,1712.81
2014-12-10T01:36:08+0000,1694.99
2014-12-10T01:39:08+0000,1690.15
2014-12-10T01:42:08+0000,1656.02
2014-12-10T01:45:09+0000,1636.92
2014-12-10T01:48:09+0000,1631.83
2014-12-10T01:51:09+0000,1623.69
2014-12-10T01:54:09+0000,1601.27
2014-12-10T01:57:10+0000,1586
2014-12-10T02:00:10+0000,1578.61
2014-12-10T02:03:10+0000,1560.53
2014-12-10T02:06:10+0000,1515.71
2014-12-10T02:09:10+0000,1505.52
2014-12-10T02:12:11+0000,1462.5
2014-12-10T02:15:11+0000,1475.24
2014-12-10T02:18:11+0000,1444.93
2014-12-10T02:21:11+0000,1394.01
2014-12-10T02:24:12+0000,1391.73
2014-12-10T02:27:12+0000,1362.2
2014-12-10T02:30:12+0000,1325.27
2014-12-10T02:33:12+0000,1282.23
2014-12-10T02:36:12+0000,1274.6
2014-12-10T02:39:13+0000,1249.13
2014-12-10T02:42:13+0000,1203.04
2014-12-10T02:45:13+0000,1159.75
2014-12-10T02:48:13+0000,1097.35
2014-12-10T02:51:13+0000,1056.85
2014-12-10T02:54:14+0000,1014.06
2014-12-10T02:57:14+0000,954.72
2014-12-10T03:00:14+0000,893.85
2014-12-10T03:03:14+0000,824.84
2014-12-10T03:06:14+0000,775.17
2014-12-10T03:09:15+0000,701.06
2014-12-10T03:12:15+0000,610.64
2014-12-10T03:15:15+0000,183.78
2014-12-10T03:18:15+0000,165.19
2014-12-10T03:21:16+0000,147.87
2014-12-10T03:24:16+0000,123.16
2014-12-10T03:27:16+0000,99.73
2014-12-10T03:30:16+0000,96.93
2014-12-10T03:52:34+0000,6.52
2014-12-10T04:02:07+0000,0
2014-12-10T04:05:08+0000,0
2014-12-10T04:08:08+0000,0
2014-12-10T04:11:08+0000,0
2014-12-10T04:14:08+0000,0
2014-12-10T04:17:08+0000,0
2014-12-10T04:20:08+0000,0
2014-12-10T04:23:09+0000,0
2014-12-10T04:26:09+0000,0
2014-12-10T04:29:09+0000,0
2014-12-10T04:32:09+0000,0
2014-12-10T04:35:09+0000,0
2014-12-10T04:38:10+0000,0
2014-12-10T04:41:10+0000,0
2014-12-10T04:44:10+0000,0
2014-12-10T04:47:10+0000,0
2014-12-10T04:50:11+0000,0
2014-12-10T04:53:11+0000,0
2014-12-10T04:56:11+0000,0
2014-12-10T04:59:11+0000,0
2014-12-10T05:02:11+0000,0
2014-12-10T05:05:12+0000,0
2014-12-10T05:08:12+0000,0
2014-12-10T05:11:12+0000,0
2014-12-10T05:14:12+0000,0
2014-12-10T05:17:12+0000,0
2014-12-10T05:20:13+0000,0
2014-12-10T05:23:13+0000,0
2014-12-10T05:26:13+0000,0
2014-12-10T05:29:13+0000,0
2014-12-10T05:32:13+0000,0
2014-12-10T05:35:14+0000,0
2014-12-10T05:38:14+0000,0
2014-12-10T05:41:14+0000,0
2014-12-10T05:44:14+0000,0
2014-12-10T05:47:15+0000,0
